id,vehicle_type,direction,confidence,clip_file,thumbnail_file,license_plate
1,car,arriving,0.8792,vehicle_1.mp4,vehicle_1.jpg,
4,truck,none,0.6995,vehicle_4.mp4,vehicle_4.jpg,
21,car,arriving,0.9115,vehicle_21.mp4,vehicle_21.jpg,ZH9393
22,car,arriving,0.9189,vehicle_22.mp4,vehicle_22.jpg,
28,car,arriving,0.8864,vehicle_28.mp4,vehicle_28.jpg,WG-2405
39,car,arriving,0.8793,vehicle_39.mp4,vehicle_39.jpg,
41,truck,none,0.681,vehicle_41.mp4,vehicle_41.jpg,
59,car,arriving,0.8909,vehicle_59.mp4,vehicle_59.jpg,
65,car,arriving,0.9097,vehicle_65.mp4,vehicle_65.jpg,
67,car,arriving,0.9222,vehicle_67.mp4,vehicle_67.jpg,
69,car,arriving,0.9251,vehicle_69.mp4,vehicle_69.jpg,
73,car,arriving,0.93,vehicle_73.mp4,vehicle_73.jpg,
77,car,arriving,0.9282,vehicle_77.mp4,vehicle_77.jpg,
89,car,arriving,0.9458,vehicle_89.mp4,vehicle_89.jpg,
104,car,arriving,0.9133,vehicle_104.mp4,vehicle_104.jpg,
105,car,arriving,0.9221,vehicle_105.mp4,vehicle_105.jpg,
118,car,arriving,0.895,vehicle_118.mp4,vehicle_118.jpg,
144,car,arriving,0.9201,vehicle_144.mp4,vehicle_144.jpg,
147,car,arriving,0.9011,vehicle_147.mp4,vehicle_147.jpg,
148,car,arriving,0.9081,vehicle_148.mp4,vehicle_148.jpg,
150,car,arriving,0.9211,vehicle_150.mp4,vehicle_150.jpg,
184,car,arriving,0.9159,vehicle_184.mp4,vehicle_184.jpg,
188,car,arriving,0.9077,vehicle_188.mp4,vehicle_188.jpg,
194,car,arriving,0.9179,vehicle_194.mp4,vehicle_194.jpg,
228,car,arriving,0.9293,vehicle_228.mp4,vehicle_228.jpg,
231,car,none,0.8275,vehicle_231.mp4,vehicle_231.jpg,
234,car,arriving,0.9139,vehicle_234.mp4,vehicle_234.jpg,
